gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
582297,Chelsea Brennan,Counties Manukau Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.850,5.000,3=,14.100,5.000,1,12.900,5.000,10,14.150,5.000,1,55.000,1,10 May 2022
224292,Mali Neno,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.800,5.000,6,13.350,5.000,2,13.450,5.000,2,14.000,5.000,2,54.600,2,10 May 2022
553131,Frida Comber,Eastern Suburbs Gymnastics …,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.000,5.000,1,13.150,5.000,4,13.350,5.000,4,13.250,5.000,10,53.750,3,10 May 2022
553118,Amelia King,Eastern Suburbs Gymnastics …,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.900,5.000,2,12.950,5.000,6,13.400,5.000,3,13.150,5.000,11=,53.400,4,10 May 2022
151506,Addisyn Smith,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.850,5.000,3=,12.350,5.000,14=,13.300,5.000,5,13.800,5.000,3,53.300,5,10 May 2022
171683,Akaylia Jackson,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,8,12.600,5.000,11=,13.750,5.000,1,13.150,5.000,11=,53.100,6=,10 May 2022
252650,Chloe Roberts,Gymnastics Waitara,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.750,5.000,7,13.100,5.000,5,12.700,5.000,15=,13.550,5.000,5=,53.100,6=,10 May 2022
179641,Charlie Standing,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.850,5.000,3=,12.700,5.000,7=,13.150,5.000,6,12.650,5.000,19,52.350,8,10 May 2022
553124,Lucy Scrymgeour,Eastern Suburbs Gymnastics …,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.250,5.000,16,12.700,5.000,7=,12.750,5.000,12=,13.550,5.000,5=,52.250,9=,10 May 2022
271150,Maia Drabble,Mid Island Gym Sports,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.500,5.000,9,12.500,5.000,13,12.750,5.000,12=,13.500,5.000,7,52.250,9=,10 May 2022
153810,Rilee Brown,Kapiti Gymnastics Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,10=,12.700,5.000,7=,12.950,5.000,8=,12.700,5.000,17=,51.800,11,10 May 2022
200227,Ashleigh Van Eyk,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.350,5.000,13=,12.100,5.000,16,13.050,5.000,7,13.100,5.000,13,51.600,12,10 May 2022
242936,Betsy Lu,Howick Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.300,5.000,15,12.600,5.000,11=,12.700,5.000,15=,12.700,5.000,17=,51.300,13,10 May 2022
206480,Eva Conlon,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.200,5.000,17=,12.650,5.000,10,11.750,5.000,21,13.400,5.000,8,51.000,14,10 May 2022
208986,Millie Crowe,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.350,5.000,13=,11.700,5.000,17,11.900,5.000,20,13.750,5.000,4,50.700,15=,10 May 2022
239498,Piper Skinner,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,10=,12.350,5.000,14=,12.600,5.000,17,12.300,5.000,21,50.700,15=,10 May 2022
253386,Addison Hughes,Argos Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.200,5.000,17=,13.300,5.000,3,11.150,5.000,24,12.800,5.000,16,50.450,17,10 May 2022
206341,Xanthia Ellis,Mt Tauhara Gymnastics Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.950,5.000,21,11.250,5.000,20,12.750,5.000,12=,12.900,5.000,14=,49.850,18,10 May 2022
531971,Klara McKeefry,Counties Manukau Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.000,5.000,20,9.650,5.000,24,12.950,5.000,8=,13.300,5.000,9,48.900,19,10 May 2022
259882,Kendall Robson,Argos Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.400,5.000,12,10.850,5.000,22,12.200,5.000,19,12.250,5.000,22,48.700,20,10 May 2022
