gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
582297,Chelsea Brennan,Counties Manukau Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.700,5.000,6=,13.300,5.000,1,14.000,5.000,2,14.250,5.000,1,55.250,1,10 May 2022
553131,Frida Comber,Eastern Suburbs Gymnastics …,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.450,5.000,1,12.700,5.000,4,13.950,5.000,3,13.350,5.000,6=,54.450,2,10 May 2022
224292,Mali Neno,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.650,5.000,8,12.800,5.000,3,13.700,5.000,7=,13.500,5.000,3,53.650,3,10 May 2022
553118,Amelia King,Eastern Suburbs Gymnastics …,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.200,5.000,2,12.600,5.000,5,13.850,5.000,4,12.950,5.000,11,53.600,4,10 May 2022
252650,Chloe Roberts,Gymnastics Waitara,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.700,5.000,6=,12.550,5.000,6=,13.800,5.000,5=,13.450,5.000,4,53.500,5,10 May 2022
553124,Lucy Scrymgeour,Eastern Suburbs Gymnastics …,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.850,5.000,3=,12.550,5.000,6=,13.800,5.000,5=,13.200,5.000,9=,53.400,6,10 May 2022
151506,Addisyn Smith,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.600,5.000,9,11.900,5.000,17,14.150,5.000,1,13.350,5.000,6=,53.000,7,10 May 2022
206480,Eva Conlon,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.250,5.000,16,12.300,5.000,10,13.650,5.000,10=,13.200,5.000,9=,52.400,8,10 May 2022
271150,Maia Drabble,Mid Island Gym Sports,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.550,5.000,10=,12.200,5.000,11=,13.350,5.000,13,12.900,5.000,12,52.000,9,10 May 2022
253386,Addison Hughes,Argos Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.100,5.000,17=,12.350,5.000,9,13.100,5.000,17,13.350,5.000,6=,51.900,10=,10 May 2022
179641,Charlie Standing,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.750,5.000,5,12.200,5.000,11=,13.600,5.000,12,12.350,5.000,20,51.900,10=,10 May 2022
200227,Ashleigh Van Eyk,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,12=,12.000,5.000,15,12.750,4.500,19,13.600,5.000,2,51.800,12,10 May 2022
171683,Akaylia Jackson,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.100,5.000,17=,12.400,5.000,8,13.700,5.000,7=,12.500,5.000,18=,51.700,13,10 May 2022
239498,Piper Skinner,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.950,5.000,20,13.050,5.000,2,13.200,5.000,16,12.200,5.000,21,51.400,14,10 May 2022
208986,Millie Crowe,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,12=,12.200,5.000,11=,12.300,5.000,23,13.400,5.000,5,51.350,15,10 May 2022
242936,Betsy Lu,Howick Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.300,5.000,15,12.200,5.000,11=,13.300,5.000,14=,12.500,5.000,18=,51.300,16,10 May 2022
153810,Rilee Brown,Kapiti Gymnastics Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.550,5.000,10=,11.350,5.000,19,13.650,5.000,10=,12.550,5.000,17,51.100,17,10 May 2022
214600,Ella Blomfield,Hamilton City Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,21,11.950,5.000,16,11.800,5.000,25,12.750,5.000,14=,49.300,18,10 May 2022
531971,Klara McKeefry,Counties Manukau Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.700,5.000,22=,9.050,4.500,24,13.700,5.000,7=,12.750,5.000,14=,48.200,19,10 May 2022
201703,Nellie Burns,Impact Gymsport Academy,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.700,5.000,22=,10.000,5.000,21,12.650,4.500,20=,12.600,5.000,16,47.950,20,10 May 2022
206341,Xanthia Ellis,Mt Tauhara Gymnastics Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.000,5.000,19,9.200,4.500,23,12.650,4.700,20=,12.800,5.000,13,47.650,21,10 May 2022
531998,Kayla Roberts,Counties Manukau Gymnastics,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.850,5.000,3=,8.950,4.500,25,13.300,5.000,14=,11.450,5.000,23,47.550,22,10 May 2022
230329,Ashley Bertelsen,Argos Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.600,5.000,24,11.400,5.000,18,13.050,5.000,18,10.450,4.000,24,47.500,23=,10 May 2022
259882,Kendall Robson,Argos Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.350,5.000,14,9.900,5.000,22,12.150,5.000,24,12.100,5.000,22,47.500,23=,10 May 2022
216501,Abby Powell,Howick Gymnastic Club,6,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,0.000,0.000,25,10.800,5.000,20,12.500,5.000,22,0.000,0.000,25,23.300,25,10 May 2022
