gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
296239,Vivi Hale,Gymnastics Waitara,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.800,5.000,5,12.250,5.000,7,14.400,5.000,1,14.600,5.000,1,55.050,1,10 May 2022
206227,Zara Fitzsimons,Hutt Valley Gymnastics,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.650,5.000,6,13.400,5.000,2,13.900,5.000,4,13.550,5.000,3=,54.500,2,10 May 2022
531969,Sienna Pirie,Counties Manukau Gymnastics,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.100,5.000,2,12.450,5.000,4=,14.100,5.000,2,13.550,5.000,3=,54.200,3,10 May 2022
553100,Sophia Orlova,Eastern Suburbs Gymnastics …,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.450,5.000,7,13.000,5.000,3,13.750,5.000,6,13.700,5.000,2,53.900,4,10 May 2022
240541,Bryleigh Jackson,Impact Gymsport Academy,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.000,5.000,3,12.300,5.000,6,14.050,5.000,3,13.300,5.000,5,53.650,5,10 May 2022
187321,Cleo Bell,Argos Gymnastic Club,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,14.150,5.000,1,13.700,5.000,1,12.600,5.000,11,12.700,5.000,8,53.150,6,10 May 2022
553114,Julia Wolski,Eastern Suburbs Gymnastics …,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.900,5.000,4,12.450,5.000,4=,13.350,5.000,8=,12.850,5.000,7,52.550,7,10 May 2022
244210,Sophia Hands,Hamilton City Gymnastics,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,13.300,5.000,8,11.900,5.000,8,13.550,5.000,7,12.500,5.000,9,51.250,8,10 May 2022
245355,Hazel Passmore,Hutt Valley Gymnastics,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,9=,11.600,5.000,9=,13.350,5.000,8=,12.950,5.000,6,50.700,9,10 May 2022
245236,Addison Sands,Impact Gymsport Academy,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.600,5.000,11,11.600,5.000,9=,13.800,5.000,5,12.050,5.000,10,50.050,10,10 May 2022
584502,Ruby Duncan,Manawatu Gymsports,6,UNDER,Gymnastics Waitara - Senior Opens 2022,AA,1,12.800,5.000,9=,8.700,4.500,11,13.100,5.000,10,11.800,5.000,11,46.400,11,10 May 2022
