gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
105411,Kahu Barsdell,Eastern Suburbs Gymnastics …,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,11.533,3.400,4,12.233,3.100,2,12.600,4.300,1,12.633,4.200,2,48.999,1,10 May 2022
269872,Lulu Miller,Impact Gymsport Academy,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.733,1.600,13=,12.300,3.500,1,11.600,3.700,7,12.733,4.000,1,47.366,2,10 May 2022
194347,Luci Strachan,Gymnastics Waitara,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,11.366,2.400,5,10.933,3.000,5,11.933,3.900,5,11.866,4.000,5,46.098,3,10 May 2022
641778,Lauren Carr,Hutt Valley Gymnastics,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,11.333,3.200,6=,11.400,3.800,3,12.033,4.100,3,10.700,3.700,20,45.466,4,10 May 2022
601190,Meche Phillips,Turn and Gymnastic Circle,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.333,1.600,26,10.466,3.100,9=,12.200,4.000,2,10.933,2.800,16,43.932,5,10 May 2022
531987,Gurjeeya Kaur,Counties Manukau Gymnastics,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,11.600,3.200,3,10.633,3.000,7,10.100,4.200,20,11.366,3.400,12,43.699,6,10 May 2022
246280,Pippa Cronin,Argos Gymnastic Club,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.866,2.400,9,10.500,2.400,8,11.733,2.900,6,10.566,3.300,22,43.665,7,10 May 2022
554693,Rory Jenkins,Hamilton City Gymnastics,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.700,1.600,15=,10.466,2.700,9=,11.000,3.600,13,11.466,3.900,11,43.632,8,10 May 2022
220976,Anna Elliott,Onslow Gymnastic Club,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.700,2.400,15=,10.033,2.000,18=,11.300,3.700,8,11.533,3.900,9=,43.566,9,10 May 2022
185902,Cailin Ward,Gymnastics Waitara,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,11.733,3.400,2,9.733,2.100,23,9.900,3.300,22=,11.766,4.500,6,43.132,10,10 May 2022
117504,Lara Cooper,Hutt Valley Gymnastics,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.533,1.600,20,10.333,2.300,14,10.600,3.100,14,11.566,3.200,8,43.032,11,10 May 2022
267437,Allegra Ruruku-Hunt,Kapiti Gymnastics Club,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.066,2.000,30,10.433,2.400,11,10.466,3.700,16,12.000,4.100,3,42.965,12,10 May 2022
223744,Pippa Montgomerie,Argos Gymnastic Club,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.733,2.400,13=,9.766,2.100,22,11.100,2.900,11,10.866,3.200,17,42.465,13,10 May 2022
208819,Charlie Simmons,Hutt Valley Gymnastics,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,10.300,1.600,27,8.266,2.100,32,12.000,3.600,4,11.700,3.800,7,42.266,14,10 May 2022
220967,Natasha Stewart,Onslow Gymnastic Club,7,OVER,Gymnastics Waitara - Senior Opens 2022,AA,1,9.833,1.600,31,10.166,2.400,15=,11.200,3.700,9,11.000,3.500,15,42.199,15,10 May 2022
