gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
296689,Naomi Guershom,Rimutaka Gymnastics,4,OVER,HBPB Opens,AA,1,13.700,5.000,2,13.150,5.000,6=,12.800,5.000,2,13.200,5.000,6=,52.850,1,30 April 2022
287944,Aliana Watson,Hastings Gymnastics,4,OVER,HBPB Opens,AA,1,13.200,5.000,9,13.650,5.000,2=,12.450,5.000,5,13.350,5.000,4=,52.650,2,30 April 2022
608523,Ruby Brewer,Rimutaka Gymnastics,4,OVER,HBPB Opens,AA,1,13.650,5.000,3=,13.400,5.000,4,12.750,5.000,3,12.650,5.000,8,52.450,3,30 April 2022
528827,Vivi Boggs,Omni Gymnastic Centre,4,OVER,HBPB Opens,AA,1,13.500,5.000,5=,13.650,5.000,2=,11.400,5.000,9,13.600,5.000,1=,52.150,4,30 April 2022
256164,Bella Huang,Omni Gymnastic Centre,4,OVER,HBPB Opens,AA,1,13.500,5.000,5=,13.200,5.000,5,11.300,4.500,10,13.600,5.000,1=,51.600,5,30 April 2022
555070,Isla Bawden,Hastings Gymnastics,4,OVER,HBPB Opens,AA,1,13.650,5.000,3=,13.750,5.000,1,10.800,5.000,13,13.350,5.000,4=,51.550,6,30 April 2022
201410,Grace McGall,Rimutaka Gymnastics,4,OVER,HBPB Opens,AA,1,12.800,5.000,12=,12.950,5.000,8,13.100,5.000,1,12.550,5.000,9=,51.400,7,30 April 2022
229824,Leah McDowell,Omni Gymnastic Centre,4,OVER,HBPB Opens,AA,1,12.800,5.000,12=,12.750,5.000,9,12.300,5.000,6=,13.200,5.000,6=,51.050,8,30 April 2022
249317,Madison Lynch,Onslow Gymnastics,4,OVER,HBPB Opens,AA,1,13.050,5.000,10,13.150,5.000,6=,12.300,4.500,6=,12.500,5.000,11,51.000,9,30 April 2022
192731,Emma Cooper,Rimutaka Gymnastics,4,OVER,HBPB Opens,AA,1,14.000,5.000,1,12.700,5.000,10=,11.500,4.500,8,12.550,5.000,9=,50.750,10,30 April 2022
246842,Ava Gleeson,Omni Gymnastic Centre,4,OVER,HBPB Opens,AA,1,11.900,4.000,16,12.650,5.000,12,12.650,5.000,4,13.450,5.000,3,50.650,11,30 April 2022
261652,Amelia Hogg,Onslow Gymnastics,4,OVER,HBPB Opens,AA,1,12.850,5.000,11,12.700,5.000,10=,11.250,4.500,11,12.050,4.500,12,48.850,12,30 April 2022
254219,Aubane Farcy,Rimutaka Gymnastics,4,OVER,HBPB Opens,AA,1,13.500,5.000,5=,11.600,5.000,13,10.950,4.500,12,10.400,3.500,16,46.450,13,30 April 2022
227729,Devon Cook,Onslow Gymnastics,4,OVER,HBPB Opens,AA,1,13.350,5.000,8,11.450,5.000,14,9.450,3.700,14,11.600,5.000,13,45.850,14,30 April 2022
269421,Hannah Horn,Hastings Gymnastics,4,OVER,HBPB Opens,AA,1,12.700,5.000,14,9.000,4.500,16,8.400,4.000,15,11.550,4.500,14,41.650,15,30 April 2022
295288,Sophie Donovan,Hastings Gymnastics,4,OVER,HBPB Opens,AA,1,12.550,5.000,15,9.550,5.000,15,7.150,3.200,16,11.000,4.500,15,40.250,16,30 April 2022
