gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
220976,Anna Elliott,OGC,7,NONE,HBPB Opens,APP,1,11.250,2.400,1,10.450,2.100,3,12.200,3.700,1,12.050,3.900,1,45.950,,3 May 2022
269401,Sarah Fenwick,HAS,7,NONE,HBPB Opens,APP,1,11.200,2.400,2,10.250,2.500,4,9.250,2.400,6,11.000,3.700,5,41.700,,3 May 2022
168329,Michaela McPhee,HAR,7,NONE,HBPB Opens,APP,1,10.800,1.600,3,9.800,2.100,5,DNS,DNS,DNS,DNS,DNS,DNS,20.600,,3 May 2022
252901,Penelope Fowler,OMN,7,NONE,HBPB Opens,APP,1,10.550,1.600,4,9.800,2.800,5,10.350,3.000,4,11.050,3.800,4,41.750,,3 May 2022
158129,Abbey Malin,RIM,7,NONE,HBPB Opens,APP,1,10.550,2.400,4,9.600,2.200,8,8.500,1.900,8,10.650,3.700,7,39.300,,3 May 2022
149626,Sienna Manisty,OMN,7,NONE,HBPB Opens,APP,1,10.250,2.400,6,9.200,1.700,9,8.950,2.300,7,10.750,3.600,6,39.150,,3 May 2022
141980,Elise Kibblewhite,HAR,7,NONE,HBPB Opens,APP,1,10.200,1.600,7,11.550,3.000,1,10.950,2.600,3,10.400,3.700,8,43.100,,3 May 2022
260910,Nikita Steffert,OMN,7,NONE,HBPB Opens,APP,1,9.950,1.600,8,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,9.950,,3 May 2022
220967,Natasha Stewart,OGC,7,NONE,HBPB Opens,APP,1,9.800,1.600,9,10.800,2.500,2,11.950,3.700,2,11.700,3.900,2,44.250,,3 May 2022
287928,Ashlee McMillan,OMN,7,NONE,HBPB Opens,APP,1,9.500,2.000,10,9.750,2.700,7,10.150,3.000,5,11.250,4.000,3,40.650,,3 May 2022
