gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
269872,Lu Lu Miller,Impact,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.466,1.600,7,12.033,3.500,1,12.133,3.700,2,12.300,3.900,1,46.932,1,24 April 2022
269827,Paige Pratt,Impact,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.766,1.600,2=,10.533,2.400,2,11.200,3.700,4=,11.600,3.700,3,44.099,2,24 April 2022
554693,Rory Jenkins,Hamilton,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.400,2.400,8,9.466,2.100,6,11.400,3.600,3,11.800,4.000,2,43.066,3,24 April 2022
246280,Pippa Cronin,ARGOS,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.766,2.400,2=,9.766,2.400,4,11.133,2.900,6,8.600,2.500,12,40.265,4,24 April 2022
223744,Pippa Montgomerie,ARGOS,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,9.900,1.600,11=,9.366,2.100,7,9.700,2.900,8,11.200,3.300,5,40.166,5,24 April 2022
161345,Bethan Lauder,Hamilton,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.100,1.600,9,8.266,1.500,10=,11.200,3.400,4=,9.100,3.000,10,38.666,6,24 April 2022
194104,Lily Evans,Te Puke,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,11.333,2.400,1,9.533,2.600,5,6.433,1.900,13,11.366,3.300,4,38.665,7,24 April 2022
223888,Hayley McKinnon,Hamilton,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.633,1.600,5,8.100,2.100,12=,10.700,2.800,7,8.900,2.600,11,38.333,8,24 April 2022
217900,Lily Mae Smith,Whangarei,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,9.266,2.400,13,9.933,2.100,3,7.166,2.600,9,10.400,3.300,7,36.765,9,24 April 2022
287928,Ashlee McMillan,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.700,2.000,4,8.066,2.700,14,6.700,1.900,12,10.700,3.600,6,36.166,10,24 April 2022
207818,Charlotte Butler,Whangarei,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.500,2.400,6,8.100,2.100,12=,7.033,1.200,10,9.700,3.200,8,35.333,11,24 April 2022
149626,Sienna Manisty,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,9.233,2.400,14,8.700,1.700,8,6.966,1.500,11,9.300,2.600,9,34.199,12,24 April 2022
601190,Meche Phillips,T&GC,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.033,1.600,10,8.266,2.800,10=,12.566,4.000,1,DNS,DNS,DNS,DNF,-,24 April 2022
260910,Nikita Steffert,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,9.900,1.600,11=,8.533,2.900,9,DNS,DNS,DNS,7.133,1.800,13,DNF,-,24 April 2022
188804,Jayda Moke,MIGS,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
252901,Penelope Fowler,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
609784,Samantha Frank,Whangarei,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
