gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
269872,Lu Lu Miller,Impact,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.766,1.600,3,13.000,4.100,1,11.800,3.700,2,12.133,3.900,1,47.699,1,24 April 2022
269827,Paige Pratt,Impact,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.266,1.600,8,10.433,3.000,3,11.766,3.800,3,10.000,3.400,7=,42.465,2,24 April 2022
161345,Bethan Lauder,Hamilton,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,9.900,1.600,13,9.166,1.500,13,11.700,3.400,4,11.000,3.400,3,41.766,3,24 April 2022
194104,Lily Evans,Te Puke,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,11.500,2.400,1,9.766,2.600,7,10.966,3.900,5,9.400,2.200,11,41.632,4,24 April 2022
217900,Lily Mae Smith,Whangarei,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.333,2.400,6=,9.700,2.100,8,10.566,2.900,6,10.366,3.300,6,40.965,5,24 April 2022
246280,Pippa Cronin,ARGOS,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.633,2.400,4,10.366,2.400,4,9.766,2.400,7,9.600,3.000,10,40.365,6,24 April 2022
223888,Hayley McKinnon,Hamilton,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.033,1.600,11=,10.166,2.100,5,9.700,2.800,8,8.566,3.100,12,38.465,7,24 April 2022
223744,Pippa Montgomerie,ARGOS,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.033,1.600,11=,9.966,2.100,6,6.500,2.300,11,11.533,3.200,2,38.032,8,24 April 2022
149626,Sienna Manisty,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,9.400,1.600,14,9.266,1.700,11,9.300,2.300,9,10.000,3.000,7=,37.966,9,24 April 2022
287928,Ashlee McMillan,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.333,2.000,6=,8.133,2.300,14,8.166,1.900,10,10.900,3.700,4,37.532,10,24 April 2022
207818,Charlotte Butler,Whangarei,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.800,2.400,2,9.566,2.100,10,6.333,1.800,12,9.866,3.300,9,36.565,11,24 April 2022
260910,Nikita Steffert,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.066,1.600,10,9.200,2.600,12,4.000,1.200,13,10.466,3.000,5,33.732,12,24 April 2022
601190,Meche Phillips,T&GC,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,DNS,DNS,DNS,10.866,2.400,2,12.833,4.000,1,DNS,DNS,DNS,DNF,-,24 April 2022
554693,Rory Jenkins,Hamilton,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.533,1.600,5,9.600,2.100,9,DNS,DNS,DNS,DNS,DNS,DNS,DNF,-,24 April 2022
609784,Samantha Frank,Whangarei,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,10.200,1.600,9,DNS,DNS,DNS,DNS,DNS,DNS,7.900,2.300,13,DNF,-,24 April 2022
188804,Jayda Moke,MIGS,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
252901,Penelope Fowler,OMNI,7,OVER,Hamilton City Senior Artistic Competition 2022,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
