gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
224292,Mali Neno,Impact Gymsport Academy,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,14.000,5.000,1,12.666,5.000,2,13.100,5.000,5,13.500,5.000,3,53.266,1,4 April 2022
253386,Addison Hughes,Argos Gymnastics Club,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.200,5.000,8,13.100,5.000,1,13.300,5.000,2,13.550,5.000,2,53.150,2,4 April 2022
271150,Maia Drabble,Mid Island Gym Sports,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.500,5.000,4,12.233,5.000,4,13.433,5.000,1,13.250,5.000,4,52.416,3,4 April 2022
171683,Akaylia Jackson,Impact Gymsport Academy,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.650,5.000,2,12.033,5.000,6,13.133,5.000,4,13.050,5.000,5,51.866,4,4 April 2022
208986,Millie Crowe,Impact Gymsport Academy,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.450,5.000,5,11.700,5.000,8,12.900,5.000,7,13.600,5.000,1,51.650,5,4 April 2022
239498,Piper Skinner,Impact Gymsport Academy,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.250,5.000,6=,12.133,5.000,5,13.200,5.000,3,13.000,5.000,6,51.583,6,4 April 2022
206341,Xanthia Ellis,Mt Tauhara Gymnastics Club,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.050,5.000,9,12.000,5.000,7,12.600,5.000,9,12.350,5.000,7,50.000,7,4 April 2022
149661,Lola Nicholls,Omni Gymnastic Centre,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.250,5.000,6=,12.366,5.000,3,13.000,5.000,6,10.500,4.500,9,49.116,8,4 April 2022
259882,Kendall Robson,Argos Gymnastics Club,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,13.600,5.000,3,10.366,5.000,10,12.800,5.000,8,11.750,5.000,8,48.516,9,4 April 2022
230329,Ashley Bertelsen,Argos Gymnastics Club,6,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,12.800,5.000,10,11.666,5.000,9,12.400,5.000,10,DNS,DNS,DNS,36.866,10,4 April 2022
