gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
185902,Cailin Ward,Gymnastics Waitara,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,11.500,3.400,1,9.700,2.100,4,12.100,3.800,1,12.500,4.400,1,45.800,1,4 April 2022
269872,Lu Lu Miller,Impact Gymsport Academy,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,10.600,1.600,6,11.300,3.500,1,12.033,3.700,2,11.166,3.600,5,45.099,2,4 April 2022
180369,Carina Roberts,Argos Gymnastics Club,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,11.000,2.400,3,10.333,2.400,3,10.600,2.400,4,10.900,3.200,6=,42.833,3,4 April 2022
194104,Lily Evans,Te Puke Gymsports,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,10.900,2.400,4,9.666,2.100,5,10.266,2.500,5,11.266,3.200,3=,42.098,4,4 April 2022
224012,Madison Wannop,Argos Gymnastics Club,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,10.666,2.400,5,8.766,2.100,7,11.266,2.800,3,11.266,3.300,3=,41.964,5,4 April 2022
194347,Luci Strachan,Gymnastics Waitara,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,11.166,2.400,2,8.100,2.100,10,10.166,3.400,6,11.866,3.600,2,41.298,6,4 April 2022
260910,Nikita Steffert,Omni Gymnastic Centre,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,10.100,1.600,9,9.266,2.600,6,9.466,3.100,7,10.433,2.900,9,39.265,7,4 April 2022
252901,Penelope Fowler,Omni Gymnastic Centre,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,10.433,1.600,7,8.533,2.500,8=,8.500,2.500,9,10.833,3.600,8,38.299,8,4 April 2022
149626,Sienna Manisty,Omni Gymnastic Centre,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,9.900,1.600,10,8.533,1.700,8=,6.933,2.300,10,10.900,3.500,6=,36.266,9,4 April 2022
246280,Pippa Cronin,Argos Gymnastics Club,7,OVER,MIGS Junior-Senior Artistic Competition 2022,AA,1,10.300,1.600,8,10.733,2.400,2,9.266,2.100,8,DNS,DNS,DNS,30.299,10,4 April 2022
