gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
185902,Cailin Ward,GWA,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,11.833,3.400,1,9.833,2.100,4,11.766,3.800,1,11.733,4.300,2,45.165,,4 April 2022
194104,Lily Evans,TEP,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,11.266,2.400,2,9.633,2.100,5,8.666,2.500,7,11.566,3.200,3,41.131,,4 April 2022
180369,Carina Roberts,ARG,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,11.100,2.400,3,9.500,2.400,6,10.300,2.400,5,10.633,3.200,9,41.533,,4 April 2022
269872,Lu Lu Miller,IGA,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,10.866,1.600,4,12.833,3.900,1,11.000,3.400,3,12.200,3.900,1,46.899,,4 April 2022
224012,Madison Wannop,ARG,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,10.800,2.400,5,8.566,2.100,9,11.000,2.800,3,11.100,3.300,5,41.466,,4 April 2022
194347,Luci Strachan,GWA,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,10.666,2.400,6,10.633,3.500,2,10.000,3.100,6,11.300,3.600,4,42.599,,4 April 2022
149626,Sienna Manisty,OGC,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,10.266,2.400,7,8.000,1.700,10,7.666,2.400,9,11.000,3.500,6,36.932,,4 April 2022
252901,Penelope Fowler,OGC,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,10.133,1.600,8,8.900,2.500,8,7.866,3.000,8,10.966,3.700,7,37.865,,4 April 2022
260910,Nikita Steffert,OGC,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,9.933,1.600,9,8.933,2.900,7,6.600,2.300,10,10.900,3.400,8,36.366,,4 April 2022
246280,Pippa Cronin,ARG,7,OVER,MIGS Junior-Senior Artistic Competition 2022,APP,1,DNS,DNS,DNS,10.566,2.400,3,11.266,2.900,2,DNS,DNS,DNS,21.832,,4 April 2022
