gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
295524,Kaia Ranston,Omni Gymnastics Centre,4,UNDER,Manawatu Senior Opens,AA,1,13.300,5.000,3,12.850,5.000,3,14.000,5.000,1,14.100,5.000,1,54.250,1,15 May 2022
550496,Georgia Harvey,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,13.200,5.000,5,13.000,5.000,2,13.300,4.500,3,14.050,5.000,2,53.550,2,15 May 2022
271154,Anaya Dunlop,Rimutaka Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,13.500,5.000,2,12.100,5.000,4,13.900,5.000,2,13.750,5.000,3,53.250,3,15 May 2022
295813,Halo Bishop,Whanganui Boys & Girls Gym …,4,UNDER,Manawatu Senior Opens,AA,1,13.950,5.000,1,13.600,5.000,1,11.850,4.700,5,12.500,5.000,9,51.900,4,15 May 2022
296108,Marina Munford,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,12.850,5.000,8,11.750,5.000,5,12.500,4.000,4,13.600,5.000,4,50.700,5,15 May 2022
302439,Mia Kamphuis,Omni Gymnastics Centre,4,UNDER,Manawatu Senior Opens,AA,1,13.150,5.000,6,10.550,5.000,9,11.100,4.000,9,13.450,5.000,5,48.250,6,15 May 2022
296029,Emily Gillard,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,13.250,5.000,4,11.300,5.000,6,11.050,4.000,10,12.550,4.500,8,48.150,7,15 May 2022
226768,Tamzyn Valler,Omni Gymnastics Centre,4,UNDER,Manawatu Senior Opens,AA,1,12.600,5.000,10,10.900,5.000,7,11.200,4.500,8,13.250,5.000,6,47.950,8,15 May 2022
267103,Kiitahi Berghan,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,12.700,5.000,9,10.400,5.000,10,11.450,4.500,6,12.100,4.500,10,46.650,9,15 May 2022
302421,Brooke Kendrew,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,12.900,5.000,7,10.700,5.000,8,11.300,4.500,7,10.950,4.500,11,45.850,10,15 May 2022
273384,Isobel Taylor,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,12.550,5.000,11=,8.800,5.000,12,10.150,3.500,11,12.600,5.000,7,44.100,11,15 May 2022
296107,Emelia Bailey,Manawatu Gymsports,4,UNDER,Manawatu Senior Opens,AA,1,12.550,5.000,11=,10.200,4.500,11,DNS,DNS,DNS,DNS,DNS,DNS,DNF,-,15 May 2022
