gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
243447,Emma Nixon,MGI,5,OVER,Manawatu Senior Opens,APP,1,14.200,5.000,1,12.950,5.000,5,11.000,4.000,22,11.750,5.000,15,49.900,,15 May 2022
158025,Kate Livengood,HAR,5,OVER,Manawatu Senior Opens,APP,1,13.950,5.000,2,12.650,5.000,7=,11.650,5.000,17,12.400,5.000,11,50.650,,15 May 2022
256431,Abby Downes,KAP,5,OVER,Manawatu Senior Opens,APP,1,13.750,5.000,3=,10.600,5.000,25,13.000,5.000,5=,12.800,5.000,5,50.150,,15 May 2022
218585,Sophie Long,MGI,5,OVER,Manawatu Senior Opens,APP,1,13.750,5.000,3=,13.550,5.000,1,11.300,5.000,19=,13.000,5.000,4,51.600,,15 May 2022
255988,Emma Barry,MGI,5,OVER,Manawatu Senior Opens,APP,1,13.650,5.000,5,11.500,5.000,20,12.150,5.000,12=,9.800,4.000,24,47.100,,15 May 2022
184268,Zana Manisty,OMN,5,OVER,Manawatu Senior Opens,APP,1,13.450,5.000,6,13.000,5.000,4,13.500,5.000,2,12.700,5.000,7,52.650,,15 May 2022
249821,Ashleigh Keall,ONS,5,OVER,Manawatu Senior Opens,APP,1,13.300,5.000,7,12.600,5.000,9=,11.300,5.000,19=,10.850,4.500,23,48.050,,15 May 2022
227748,Zoe Tatham,ONS,5,OVER,Manawatu Senior Opens,APP,1,13.250,5.000,8,12.900,5.000,6,12.400,5.000,10,12.000,5.000,12,50.550,,15 May 2022
274558,Jacqui Linklater,WBG,5,OVER,Manawatu Senior Opens,APP,1,13.200,5.000,9,12.450,5.000,12=,11.850,5.000,16,11.500,4.500,16,49.000,,15 May 2022
227085,Alexa Newton,MGI,5,OVER,Manawatu Senior Opens,APP,1,13.100,5.000,10,12.100,5.000,16,12.600,5.000,9,11.050,5.000,21,48.850,,15 May 2022
216131,Isla Leith,KAP,5,OVER,Manawatu Senior Opens,APP,1,13.000,5.000,11=,11.150,5.000,23,12.900,5.000,7,12.650,5.000,8,49.700,,15 May 2022
261788,Shannon Tindle,MGI,5,OVER,Manawatu Senior Opens,APP,1,13.000,5.000,11=,11.450,5.000,21,11.900,4.500,15,11.900,5.000,13,48.250,,15 May 2022
184149,Bella Small,HAR,5,OVER,Manawatu Senior Opens,APP,1,12.950,5.000,13,12.450,5.000,12=,13.050,5.000,3=,11.350,5.000,19,49.800,,15 May 2022
201094,Eva McEwan,HAR,5,OVER,Manawatu Senior Opens,APP,1,12.750,5.000,14,11.250,5.000,22,10.150,3.700,23,11.400,5.000,18,45.550,,15 May 2022
261097,Nara Wyatt,HAR,5,OVER,Manawatu Senior Opens,APP,1,12.700,5.000,15=,12.650,5.000,7=,12.700,4.500,8,11.000,5.000,22,49.050,,15 May 2022
193219,Lucy Bickers,OMN,5,OVER,Manawatu Senior Opens,APP,1,12.700,5.000,15=,12.600,5.000,9=,13.050,4.500,3=,13.350,5.000,2,51.700,,15 May 2022
266996,Kaia Mackenzie Erkens,CAP,5,OVER,Manawatu Senior Opens,APP,1,12.500,5.000,17=,13.250,5.000,2=,13.000,5.000,5=,13.700,5.000,1,52.450,,15 May 2022
256035,Ella Field,MGI,5,OVER,Manawatu Senior Opens,APP,1,12.500,5.000,17=,12.300,5.000,15,12.050,5.000,14,12.500,5.000,10,49.350,,15 May 2022
193231,Nylah Burkett,OMN,5,OVER,Manawatu Senior Opens,APP,1,12.500,5.000,17=,13.250,5.000,2=,13.750,5.000,1,13.050,5.000,3,52.550,,15 May 2022
261076,Rosa McCutcheon,HAR,5,OVER,Manawatu Senior Opens,APP,1,12.450,5.000,20,12.600,5.000,9=,11.250,5.000,21,12.750,4.500,6,49.050,,15 May 2022
230098,Kayla de Vries,MGI,5,OVER,Manawatu Senior Opens,APP,1,12.400,5.000,21,11.800,5.000,17,DNS,DNS,DNS,6.800,3.500,25,31.000,,15 May 2022
267099,Alena Brain,MGI,5,OVER,Manawatu Senior Opens,APP,1,12.300,5.000,22,11.050,5.000,24,12.150,5.000,12=,11.450,5.000,17,46.950,,15 May 2022
253071,Elina Johnson,MGI,5,OVER,Manawatu Senior Opens,APP,1,12.200,5.000,23,12.350,5.000,14,12.200,5.000,11,11.800,5.000,14,48.550,,15 May 2022
243391,Gemma Voysey,MGI,5,OVER,Manawatu Senior Opens,APP,1,12.000,5.000,24,11.550,5.000,19,7.750,3.500,24,11.250,5.000,20,42.550,,15 May 2022
555198,Alex McCutcheon,CEN,5,OVER,Manawatu Senior Opens,APP,1,11.800,5.000,25,11.700,5.000,18,11.500,5.000,18,12.600,5.000,9,47.600,,15 May 2022
158014,Megan Oldfield,HAR,5,OVER,Manawatu Senior Opens,APP,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,0,,15 May 2022
