gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
185902,Cailin Ward,GWA,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,11.933,3.400,1,10.233,2.100,10=,10.500,3.300,7,12.633,4.600,1=,45.299,,29 May 2022
531987,Gurjeeya Kaur,CMG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,11.400,3.200,2,12.300,3.400,2,13.066,4.500,2,12.566,4.200,3,49.332,,29 May 2022
194347,Luci Strachan,GWA,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,11.066,2.400,3,10.433,3.100,9,9.400,3.600,13,11.833,4.100,5,42.732,,29 May 2022
194104,Lily Evans,TPG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,11.033,2.400,4,10.466,2.900,8,10.066,3.500,10,DNS,DNS,DNS,31.565,,29 May 2022
223888,Hayley McKinnon,HCG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.800,1.600,5,10.066,2.100,12,10.366,2.300,8,9.933,3.100,11,41.165,,29 May 2022
269872,Lulu Miller,IGA,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.766,1.600,6,12.566,3.500,1,13.233,4.100,1,12.633,3.900,1=,49.198,,29 May 2022
246280,Pippa Cronin,ARG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.666,2.400,7=,10.833,2.400,6,10.966,3.500,5,DNS,DNS,DNS,32.465,,29 May 2022
000000,Jayda Moke,MIG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.666,1.600,7=,10.900,2.400,5,10.233,2.200,9,11.066,3.100,9,42.865,,29 May 2022
180369,Carina Roberts,ARG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.600,2.400,9=,10.700,2.400,7,10.033,2.400,11,11.766,3.200,6,43.099,,29 May 2022
269401,Sarah Fenwick,HGC,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.600,2.400,9=,10.233,2.400,10=,9.266,3.400,14,10.866,3.700,10,40.965,,29 May 2022
269827,Paige Pratt,IGA,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.400,1.600,11,11.166,2.400,4,12.600,4.200,3,11.966,3.700,4,46.132,,29 May 2022
554693,Rory Jenkins,HCG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.300,1.600,12,8.300,2.100,14,12.000,3.600,4,11.566,3.500,8,42.166,,29 May 2022
224012,Madison Wannop,ARG,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,10.266,2.400,13,9.866,2.100,13,10.866,3.000,6,11.600,3.400,7,42.598,,29 May 2022
601190,Meche Phillips,T&G,7,OVER,Midlands Junior-Senior Artistic Championships 2022,APP,1,DNS,DNS,DNS,11.266,2.800,3,9.700,2.200,12,DNS,DNS,DNS,20.966,,29 May 2022
