gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
234522,Shelby Hoyle,Whangarei Academy of Gymnastics,5,OVER,Northland Champs,All-around,,13.7,5,0,11.75,4.5,0,8.65,4.0,0,10.25,4.5,0,44.350,,2022-05-28
239650,Leah Watson,Whangarei Academy of Gymnastics,5,OVER,Northland Champs,All-around,,13.8,5,0,12.6,5.0,0,13.5,5.0,0,12.6,5.0,0,52.500,,2022-05-28
219603,Lexi Hati,Whangarei Academy of Gymnastics,5,OVER,Northland Champs,All-around,,13.95,5,0,13.0,5.0,0,13.75,4.7,0,13.4,5.0,0,54.100,,2022-05-28
234504,Emily Tattersfield,Whangarei Academy of Gymnastics,5,OVER,Northland Champs,All-around,,13.9,5,0,12.4,5.0,0,11.45,4.0,0,11.95,5.0,0,49.700,,2022-05-28
278038,Zamara Marshall,Kaitaia Gymnastics Club,5,OVER,Northland Champs,All-around,,13.8,5,0,11.5,4.5,0,13.15,5.0,0,12.35,5.0,0,50.800,,2022-05-28
,Jessica McCarthny,Kaitaia Gymnastics Club,5,OVER,Northland Champs,All-around,,13.5,5,0,11.05,5.0,0,13.3,5.0,0,11.15,5.0,0,49.000,,2022-05-28
,Amelia Hsu,Tristar Gymnastics Club,5,OVER,Northland Champs,All-around,,14.2,5,0,12.45,5.0,0,13.7,5.0,0,13.4,5.0,0,53.750,,2022-05-28
,Olivia Lindon,Tristar Gymnastics Club,5,OVER,Northland Champs,All-around,,13.95,5,0,13.6,5.0,0,13.95,5.0,0,13.35,5.0,0,54.850,,2022-05-28
,Rebekah Tan,Tristar Gymnastics Club,5,OVER,Northland Champs,All-around,,13.65,5,0,13.35,5.0,0,13.35,5.0,0,13.45,5.0,0,53.800,,2022-05-28
,Sofia Hitchen,Tristar Gymnastics Club,5,OVER,Northland Champs,All-around,,13.55,5,0,12.8,5.0,0,13.65,5.0,0,12.1,5.0,0,52.100,,2022-05-28
232770,Lucy Spice,Kerikeri Gymnastics Club,5,OVER,Northland Champs,All-around,,11.85,5,0,11.7,5.0,0,0.0,0.0,0,0.0,0.0,0,23.550,,2022-05-28
542833,Zoe Gvardijancic,Kerikeri Gymnastics Club,5,OVER,Northland Champs,All-around,,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.000,,2022-05-28
241324,Bella Postlewaight,Whangarei Academy of Gymnastics,5,OVER,Northland Champs,All-around,,0.0,0,0,0.0,0.0,0,11.9,5.0,0,0.0,0.0,0,11.900,,2022-05-28
