gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
596074,Gracen Marshall,College Street Gymnastics C…,si,UNDER,Southern Artistic Championships Competition,AA,1,12.950,5.000,4,13.350,5.000,1,13.000,5.000,1,12.300,5.000,2=,51.600,1,23 May 2022
135708,Madeleine Pettersson,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,13.900,5.000,1,11.800,4.500,3,11.850,5.000,7,13.300,5.000,1,50.850,2,23 May 2022
107946,Julie Clinton,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,13.200,5.000,3,10.900,4.000,6=,12.900,5.000,2,11.550,4.500,7,48.550,3,23 May 2022
206704,Libby Hodges,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,13.400,5.000,2,10.900,4.500,6=,12.700,5.000,3,11.350,4.500,9,48.350,4,23 May 2022
605849,Isla Templeton,Gore Gymnastics Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.500,5.000,6,10.600,4.000,8,12.600,5.000,4,12.150,5.000,4,47.850,5,23 May 2022
165708,Hannah Dunn,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.150,5.000,9,11.900,5.000,2,10.650,4.000,10=,12.300,5.000,2=,47.000,6,23 May 2022
247962,Heidi Ferris,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.100,5.000,10,11.000,4.500,5,12.150,4.500,5,11.400,5.000,8,46.650,7,23 May 2022
240685,Poppy Mclaren,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.450,5.000,7,11.250,5.000,4,10.300,4.500,12,10.650,4.500,10,44.650,8,23 May 2022
262006,Paige Gutteridge,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.350,5.000,8,9.450,4.000,9,11.000,4.500,9,10.600,4.000,11,43.400,9,23 May 2022
659601,Isla Fox-Millar,College Street Gymnastics C…,si,UNDER,Southern Artistic Championships Competition,AA,1,11.900,5.000,12,9.000,4.000,10,10.650,4.500,10=,11.600,5.000,6,43.150,10,23 May 2022
201082,Madeleine Davison,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.750,5.000,5,6.600,3.500,12,11.700,5.000,8,11.850,4.500,5,42.900,11,23 May 2022
211225,Micaela Bruce,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,12.050,5.000,11,8.050,4.000,11,12.100,5.000,6,10.550,4.500,12,42.750,12,23 May 2022
169254,Sophie Raymond,Invercargill Gymnastic Club,si,UNDER,Southern Artistic Championships Competition,AA,1,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,23 May 2022
