gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
163008,Ava Baddeley,Capital Gymsports,Junior International,NONE,Canterbury Intermediate & Senior Championships 2022,Day 1 - AA,,11.4,3.6,,7.866,2.7,,0,0,,0,0,,19.266,,2022-06-04
153635,Jun McDonald,Te Wero Gymnastics Club,Junior International,NONE,Canterbury Intermediate & Senior Championships 2022,Day 1 - AA,,0,0,,0,0,,0,0,,0,0,,0,,2022-06-04
163008,Ava Baddeley,Capital Gymsports,Junior International,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,,0,0,,9.5,3.2,,0,0,,0,0,,9.5,,2022-06-04
121941,Keira Rolston-Larking,Capital Gymsports,Senior International,NONE,Canterbury Intermediate & Senior Championships 2022,Day 1 - AA,,12.266,3.6,,11.666,4.2,,11.233,4.7,,13.366,4.9,,48.531,,2022-06-04
121941,Keira Rolston-Larking,Capital Gymsports,Senior International,NONE,Canterbury Intermediate & Senior Championships 2022,DAY 2 - App Finals,,12.55,3.6,,10.25,4.1,,11.8,4.9,,12.35,4.8,,46.95,,2022-06-04
180094,Sophia Paviour-Smith,Capital Gymsports,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.4,2,,8.6,3,,12.333,4.1,,12.433,4.2,,43.766,,2022-06-04
233157,Anya McDonald,Christchurch School of Gymnastics,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,9.8,1.6,,9.05,2.1,,9.1,2.4,,0,0,,27.95,,2022-06-04
136201,Olivia Ferguson,Christchurch School of Gymnastics,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.9,1.6,,0,0,,7.566,2.3,,11.7,3.5,,30.166,,2022-06-04
226602,Lucy Moore,Christchurch School of Gymnastics,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.5,1.6,,10.5,3.1,,12.633,3.9,,11.066,2.7,,44.699,,2022-06-04
230623,Allie Wilson,Dunedin Gymnastics Academy,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.7,2.4,,9.35,2.1,,10.466,3,,11.7,3.5,,42.216,,2022-06-04
222114,Zuzanna Kochan,Dunedin Gymnastics Academy,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.65,1.6,,10.55,3.5,,5.366,2.7,,10.9,3.4,,37.466,,2022-06-04
125086,Emma Hoffman,Gymnastics Nelson,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.6,1.6,,9.8,3,,9.466,3.2,,12.566,3.8,,42.432,,2022-06-04
195043,Ashlee Reddecliffe,Gymnastics Nelson,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.25,1.6,,10.9,3.5,,11.266,3.4,,12.133,4.3,,44.549,,2022-06-04
248334,Jaylyn Tasker,Gymnastics Nelson,7,OVER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.45,1.6,,10.25,2.9,,10.1,3.4,,11.533,3.7,,42.333,,2022-06-04
279432,Paige Rhodes,Christchurch School of Gymnastics,7,UNDER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,10.2,1.6,,10.65,3.1,,11.033,2.8,,12.333,4.1,,44.216,,2022-06-04
218274,Kyla Cowles,Christchurch School of Gymnastics,7,UNDER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,9.95,1.6,,11.45,3.5,,9.9,4.5,,12.466,4.2,,43.766,,2022-06-04
218271,Ella Thomas,Christchurch School of Gymnastics,7,UNDER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,12.3,3.2,,11.75,3.5,,12.8,4.6,,13.233,4.4,,50.083,,2022-06-04
534457,Lucy van Zoelen,Invercargill Gymnastics,7,UNDER,Canterbury Intermediate & Senior Championships 2022,"AA, TEAM , APP",,9.4,3.2,,11.1,3.1,,10.566,3.9,,11.433,3.9,,42.499,,2022-06-04
